A;MES; REGIONES ;ACCIMORTALES;ACCITRABAJO;INCIPELIGROSOS;ENFEROCUPACIONALES;TOTALNOTIFICACIONES
2020;ENERO;AMAZONAS;0;1;0;0;1
2020;ENERO;ANCASH;0;13;1;0;14
2020;ENERO;APURIMAC;0;8;0;0;8
2020;ENERO;AREQUIPA;0;162;9;0;171
2020;ENERO;AYACUCHO;0;0;0;0;0
2020;ENERO;CAJAMARCA;0;15;1;0;16
2020;ENERO;CALLAO;0;183;0;0;183
2020;ENERO;CUSCO;1;18;0;0;19
2020;ENERO;HUANCAVELICA;0;4;1;0;5
2020;ENERO;HUANUCO;0;0;0;0;0
2020;ENERO;ICA;0;5;0;0;5
2020;ENERO;JUNIN;3;6;0;0;9
2020;ENERO;LA LIBERTAD;0;60;1;0;61
2020;ENERO;LAMBAYEQUE;1;1;0;0;2
2020;ENERO;LIMA METROPOLITANA;11;2,111;35;0;2157
2020;ENERO;LIMA;0;14;0;0;14
2020;ENERO;LORETO;0;5;1;0;6
2020;ENERO;MADRE DE DIOS;1;0;0;0;1
2020;ENERO;MOQUEGUA;0;14;4;0;18
2020;ENERO;PASCO;0;4;0;0;4
2020;ENERO;PIURA;0;186;0;0;186
2020;ENERO;PUNO;0;1;0;0;1
2020;ENERO;SAN MARTIN;0;1;0;0;1
2020;ENERO;TACNA;0;1;0;0;1
2020;ENERO;TUMBES;0;4;0;0;4
2020;ENERO;UCAYALI;0;10;0;0;10
2020;FEBRERO;AMAZONAS;0;0;0;0;0
2020;FEBRERO;ANCASH;0;60;2;0;62
2020;FEBRERO;APURIMAC;0;8;0;0;8
2020;FEBRERO;AREQUIPA;1;145;6;0;152
2020;FEBRERO;AYACUCHO;1;1;0;0;2
2020;FEBRERO;CAJAMARCA;0;12;0;0;12
2020;FEBRERO;CALLAO;0;369;3;0;372
2020;FEBRERO;CUSCO;0;8;0;0;8
2020;FEBRERO;HUANCAVELICA;0;6;0;0;6
2020;FEBRERO;HUANUCO;0;2;1;0;3
2020;FEBRERO;ICA;0;0;3;0;3
2020;FEBRERO;JUNIN;0;9;2;0;11
2020;FEBRERO;LA LIBERTAD;6;17;1;0;24
2020;FEBRERO;LAMBAYEQUE;0;6;0;0;6
2020;FEBRERO;LIMA METROPOLITANA;7;2,356;31;5;2399
2020;FEBRERO;LIMA;0;17;1;2;20
2020;FEBRERO;LORETO;0;30;2;0;32
2020;FEBRERO;MADRE DE DIOS;0;0;0;0;0
2020;FEBRERO;MOQUEGUA;1;3;1;0;5
2020;FEBRERO;PASCO;0;7;0;0;7
2020;FEBRERO;PIURA;1;156;3;0;160
2020;FEBRERO;PUNO;0;1;1;0;2
2020;FEBRERO;SAN MARTIN;1;2;0;0;3
2020;FEBRERO;TACNA;0;8;1;0;9
2020;FEBRERO;TUMBES;0;6;0;0;6
2020;FEBRERO;UCAYALI;1;10;0;0;11
2020;MARZO;AMAZONAS;0;0;0;0;0
2020;MARZO;ANCASH;3;19;0;0;22
2020;MARZO;APURIMAC;0;2;0;0;2
2020;MARZO;AREQUIPA;2;53;10;0;65
2020;MARZO;AYACUCHO;0;0;0;0;0
2020;MARZO;CAJAMARCA;0;10;0;0;10
2020;MARZO;CALLAO;1;237;0;0;238
2020;MARZO;CUSCO;1;4;0;0;5
2020;MARZO;HUANCAVELICA;0;0;0;0;0
2020;MARZO;HUANUCO;0;0;0;0;0
2020;MARZO;ICA;0;14;0;0;14
2020;MARZO;JUNIN;0;4;0;0;4
2020;MARZO;LA LIBERTAD;0;14;0;0;14
2020;MARZO;LAMBAYEQUE;0;2;3;0;5
2020;MARZO;LIMA METROPOLITANA;4;1623;10;1;1638
2020;MARZO;LIMA;0;20;1;2;23
2020;MARZO;LORETO;0;1;0;0;1
2020;MARZO;MADRE DE DIOS;0;0;0;0;0
2020;MARZO;MOQUEGUA;0;1;0;0;1
2020;MARZO;PASCO;0;4;0;0;4
2020;MARZO;PIURA;0;22;0;0;22
2020;MARZO;PUNO;0;2;0;0;2
2020;MARZO;SAN MARTIN;1;1;0;0;2
2020;MARZO;TACNA;0;1;0;0;1
2020;MARZO;TUMBES;1;3;0;0;4
2020;MARZO;UCAYALI;1;2;1;0;4
2020;ABRIL;AMAZONAS;0;0;0;0;0
2020;ABRIL;ANCASH;0;3;0;0;3
2020;ABRIL;APURIMAC;0;0;0;0;0
2020;ABRIL;AREQUIPA;2;52;4;0;58
2020;ABRIL;AYACUCHO;0;0;0;0;0
2020;ABRIL;CAJAMARCA;0;10;0;0;10
2020;ABRIL;CALLAO;0;38;0;0;38
2020;ABRIL;CUSCO;1;2;0;0;3
2020;ABRIL;HUANCAVELICA;0;3;1;0;4
2020;ABRIL;HUANUCO;0;0;0;0;0
2020;ABRIL;ICA;0;1;0;0;1
2020;ABRIL;JUNIN;0;2;0;0;2
2020;ABRIL;LA LIBERTAD;0;11;0;0;11
2020;ABRIL;LAMBAYEQUE;0;0;0;0;0
2020;ABRIL;LIMA METROPOLITANA;1;510;17;0;528
2020;ABRIL;LIMA;0;34;1;0;35
2020;ABRIL;LORETO;0;0;0;0;0
2020;ABRIL;MADRE DE DIOS;0;0;0;0;0
2020;ABRIL;MOQUEGUA;0;8;0;0;8
2020;ABRIL;PASCO;0;3;0;0;3
2020;ABRIL;PIURA;0;20;2;0;22
2020;ABRIL;PUNO;0;0;0;0;0
2020;ABRIL;SAN MARTIN;0;0;0;0;0
2020;ABRIL;TACNA;0;4;0;0;4
2020;ABRIL;TUMBES;0;0;0;0;0
2020;ABRIL;UCAYALI;0;1;0;0;1
2020;MAYO;AMAZONAS;0;0;0;0;0
2020;MAYO;ANCASH;0;0;1;0;1
2020;MAYO;APURIMAC;0;0;0;0;0
2020;MAYO;AREQUIPA;0;47;1;0;48
2020;MAYO;AYACUCHO;1;0;0;0;1
2020;MAYO;CAJAMARCA;0;1;0;0;1
2020;MAYO;CALLAO;0;17;1;0;18
2020;MAYO;CUSCO;0;1;0;1;2
2020;MAYO;HUANCAVELICA;0;0;0;0;0
2020;MAYO;HUANUCO;0;0;0;0;0
2020;MAYO;ICA;0;1;0;0;1
2020;MAYO;JUNIN;0;1;2;0;3
2020;MAYO;LA LIBERTAD;0;13;0;0;13
2020;MAYO;LAMBAYEQUE;0;1;1;0;2
2020;MAYO;LIMA METROPOLITANA;4;387;7;5;403
2020;MAYO;LIMA;1;4;0;0;5
2020;MAYO;LORETO;0;0;0;0;0
2020;MAYO;MADRE DE DIOS;0;0;0;0;0
2020;MAYO;MOQUEGUA;0;2;0;0;2
2020;MAYO;PASCO;0;0;0;0;0
2020;MAYO;PIURA;0;1;0;0;1
2020;MAYO;PUNO;0;0;0;0;0
2020;MAYO;SAN MARTIN;0;1;0;0;1
2020;MAYO;TACNA;0;0;0;0;0
2020;MAYO;TUMBES;0;0;0;0;0
2020;MAYO;UCAYALI;0;0;0;0;0
2020;JUNIO;AMAZONAS;0;0;0;0;0
2020;JUNIO;ANCASH;1;2;4;0;7
2020;JUNIO;APURIMAC;0;0;0;0;0
2020;JUNIO;AREQUIPA;0;39;2;0;41
2020;JUNIO;AYACUCHO;0;0;0;0;0
2020;JUNIO;CAJAMARCA;0;0;0;0;0
2020;JUNIO;CALLAO;0;21;0;1;22
2020;JUNIO;CUSCO;0;2;0;0;2
2020;JUNIO;HUANCAVELICA;0;0;0;0;0
2020;JUNIO;HUANUCO;0;0;0;0;0
2020;JUNIO;ICA;0;0;1;0;1
2020;JUNIO;JUNIN;0;0;1;0;1
2020;JUNIO;LA LIBERTAD;1;0;1;0;2
2020;JUNIO;LAMBAYEQUE;1;0;1;0;2
2020;JUNIO;LIMA METROPOLITANA;1;530;12;0;543
2020;JUNIO;LIMA;0;5;0;0;5
2020;JUNIO;LORETO;0;1;0;0;1
2020;JUNIO;MADRE DE DIOS;0;0;0;0;0
2020;JUNIO;MOQUEGUA;0;4;0;0;4
2020;JUNIO;PASCO;1;0;0;0;1
2020;JUNIO;PIURA;0;0;0;0;0
2020;JUNIO;PUNO;0;1;0;0;1
2020;JUNIO;SAN MARTIN;0;0;0;0;0
2020;JUNIO;TACNA;0;13;0;0;13
2020;JUNIO;TUMBES;0;0;0;0;0
2020;JUNIO;UCAYALI;0;1;0;0;1
2020;JULIO;AMAZONAS;0;0;0;0;0
2020;JULIO;ANCASH;0;0;1;0;1
2020;JULIO;APURIMAC;0;0;0;0;0
2020;JULIO;AREQUIPA;1;36;2;0;39
